Next Page Token = CfDJ8OqP5ZkTT9ZGj66XXRbxXyC_hcOVZUhZcDMX_eQv1tFTFPdzrSunLWZl96ifNv1jOJUXieHF3mGgRKT1L_6YL-4
teamId,teamName,submissionDate,score
15648364,bowwowforeach,2026-05-10 12:48:39.593000,1760.0
15635910,flg,2026-05-07 15:28:44.363000,1627.5
15642431,Ebi,2026-05-07 00:01:06.210000,1588.3
15654628,Isaiah @ Tufa Labs,2026-05-07 22:18:34.280000,1567.8
15635790,Vadasz,2026-05-10 11:08:53.120000,1559.3
15639635,Erfan Eshratifar,2026-05-10 02:01:48.956000,1509.9
15637383,Shun_PI,2026-05-10 09:56:16.906000,1509.7
15649172,kovi,2026-05-09 19:31:00.116000,1484.1
15638796,ShunkiKyoya,2026-05-07 05:29:43.016000,1453.2
15638126,sash,2026-05-09 07:10:52.513000,1452.1
15636346,Ousagi,2026-05-09 09:10:53.143000,1448.6
15633806,lookaside,2026-05-07 17:13:47.290000,1423.9
15647145,Andrew + SalvadorDali,2026-05-10 04:12:57,1415.9
15671930,Ezra,2026-05-09 23:56:32.233000,1400.2
15634389,ymg_aq,2026-05-09 06:13:00.420000,1395.4
15634995,HY2017,2026-05-06 22:49:12.473000,1387.9
15751642,jack gell,2026-05-09 06:31:02.110000,1376.1
15736604,赵云龙,2026-05-08 03:59:34.080000,1373.4
15634084,klog,2026-05-10 13:29:07.286000,1364.9
15708539,Wenchong Huang,2026-05-09 02:38:54.233000,1353.5
